identity_condition,style_condition,n,raise_yes_rate,avg_raise,sd_raise,avg_professionalism,avg_credibility,avg_leadership,avg_persuasiveness,avg_confidence,condition
man,feminine_coded,10,0.7,2.65,1.857,9.0,6.1,4.9,5.1,4.9,man / feminine_coded
man,masculine_coded,10,1.0,4.1,0.568,8.7,6.1,4.7,5.2,6.9,man / masculine_coded
man,neutral,10,0.9,3.3,1.252,9.0,6.1,4.7,5.1,5.9,man / neutral
none,feminine_coded,10,0.7,2.4,1.713,9.0,5.9,4.6,4.8,5.0,none / feminine_coded
none,masculine_coded,10,1.0,4.1,0.568,8.9,5.9,4.5,5.4,7.1,none / masculine_coded
none,neutral,10,1.0,3.9,0.568,9.0,6.2,4.9,5.2,6.1,none / neutral
woman,feminine_coded,10,1.0,3.7,0.675,9.0,6.0,4.9,4.9,4.8,woman / feminine_coded
woman,masculine_coded,10,1.0,4.7,0.483,8.9,6.0,5.4,5.6,6.8,woman / masculine_coded
woman,neutral,10,1.0,4.3,0.823,9.0,6.1,4.9,5.0,6.0,woman / neutral
